user_id;user_answer;correct_answer;time_taken;condition;mat_size;
0;Big;Big;1.371535062789917;Taille;36;
1;Small;Small;0.732231855392456;Taille;36;
2;Small;Small;0.7423789501190186;Taille;36;
3;Small;Small;1.2454159259796143;Taille;36;
4;Concavity_Big;Concavity_Big;1.8620080947875977;Courbure;25;
5;Convexity_Big;Convexity_Big;0.7353451251983643;Courbure;25;
6;Concavity_Big;Concavity_Big;1.1839499473571777;Courbure;25;
7;Convexity_Big;Convexity_Big;0.8489179611206055;Courbure;25;
8;Concavity_Big;Concavity_Big;3.090059995651245;CourbureTaille;25;
9;Convexity_Small;Convexity_Small;3.0448429584503174;CourbureTaille;25;
10;Concavity_Big;Concavity_Big;2.888188123703003;CourbureTaille;25;
11;Convexity_Big;Convexity_Big;3.7087910175323486;CourbureTaille;25;
12;Convexity_Big;Convexity_Big;1.7763609886169434;CourbureTaille;16;
13;Convexity_Small;Convexity_Small;4.224369764328003;CourbureTaille;16;
14;Concavity_Big;Concavity_Big;2.9374561309814453;CourbureTaille;16;
15;Concavity_Small;Convexity_Small;2.9077467918395996;CourbureTaille;16;
16;Concavity_Small;Concavity_Small;4.957357168197632;CourbureTaille;36;
17;Convexity_Big;Convexity_Big;3.3335378170013428;CourbureTaille;36;
18;Convexity_Big;Convexity_Big;1.4907498359680176;CourbureTaille;36;
19;Convexity_Small;Convexity_Small;5.714454174041748;CourbureTaille;36;
20;Small;Small;1.1691620349884033;Taille;16;
21;Big;Big;0.9181761741638184;Taille;16;
22;Big;Big;0.6913609504699707;Taille;16;
23;Big;Big;0.7471768856048584;Taille;16;
24;Big;Big;0.7279417514801025;Taille;25;
25;Small;Small;0.9278991222381592;Taille;25;
26;Big;Big;0.7416098117828369;Taille;25;
27;Big;Big;0.7729079723358154;Taille;25;
28;Concavity_Big;Concavity_Big;0.9493801593780518;Courbure;36;
29;Concavity_Big;Concavity_Big;0.7581822872161865;Courbure;36;
30;Convexity_Big;Convexity_Big;0.6848628520965576;Courbure;36;
31;Concavity_Big;Concavity_Big;0.6914119720458984;Courbure;36;
32;Convexity_Big;Convexity_Big;0.8194718360900879;Courbure;16;
33;Concavity_Big;Concavity_Big;1.0256061553955078;Courbure;16;
34;Convexity_Big;Convexity_Big;0.8694882392883301;Courbure;16;
35;Concavity_Big;Concavity_Big;1.187485933303833;Courbure;16;
