0;Concavity_Big;Convexity_Big;1.3675789833068848;Courbure;25;
1;Concavity_Big;Convexity_Big;0.1977088451385498;Courbure;25;
2;Convexity_Big;Concavity_Big;0.18966388702392578;Courbure;25;
3;Concavity_Big;Convexity_Big;0.18307209014892578;Courbure;25;
4;Concavity_Big;Concavity_Small;0.4917621612548828;CourbureTaille;16;
5;Concavity_Big;Concavity_Small;0.20094895362854004;CourbureTaille;16;
6;Convexity_Small;Concavity_Big;0.20253419876098633;CourbureTaille;16;
7;Convexity_Small;Concavity_Big;0.22606301307678223;CourbureTaille;16;
8;Small;Big;0.28321194648742676;Taille;16;
9;Small;Big;0.22220492362976074;Taille;16;
10;Big;Small;0.21358513832092285;Taille;16;
11;Big;Small;0.20208501815795898;Taille;16;
12;Convexity_Big;Concavity_Small;1645727664.621978;CourbureTaille;36;
13;Concavity_Small;Convexity_Big;0.15183782577514648;CourbureTaille;36;
14;Convexity_Big;Convexity_Small;0.17191100120544434;CourbureTaille;36;
15;Convexity_Small;Concavity_Small;0.21099400520324707;CourbureTaille;36;
16;Big;Big;0.6499369144439697;Taille;25;
17;Small;Big;0.1988523006439209;Taille;25;
18;Big;Small;0.19173502922058105;Taille;25;
19;Small;Small;0.19186019897460938;Taille;25;
20;Small;Big;0.1738889217376709;Taille;36;
21;Small;Big;0.19103097915649414;Taille;36;
22;Big;Small;0.2098090648651123;Taille;36;
23;Small;Big;0.17136597633361816;Taille;36;
24;Concavity_Big;Convexity_Big;0.6015150547027588;Courbure;16;
25;Concavity_Big;Concavity_Big;0.1726841926574707;Courbure;16;
26;Concavity_Big;Convexity_Big;0.2302536964416504;Courbure;16;
27;Concavity_Big;Convexity_Big;0.2141118049621582;Courbure;16;
28;Concavity_Small;Convexity_Big;0.19932818412780762;CourbureTaille;25;
29;Convexity_Big;Concavity_Big;0.27806591987609863;CourbureTaille;25;
30;Concavity_Small;Convexity_Big;0.20252394676208496;CourbureTaille;25;
31;Convexity_Small;Concavity_Big;0.21414399147033691;CourbureTaille;25;
32;Convexity_Big;Concavity_Big;1645727675.3083844;Courbure;36;
33;Concavity_Big;Convexity_Big;0.20050787925720215;Courbure;36;
34;Concavity_Big;Convexity_Big;0.22410917282104492;Courbure;36;
35;Concavity_Big;Convexity_Big;0.42482781410217285;Courbure;36;
